353	3	1551
322	6	1511
174	4	1555
9	1	1500
1038	0	1595
313	0	1582
1083	0	1582
1029	3	1551
987	0	1582
812	4	1558
1434	2	1514
232	0	1591
88	4	1558
1235	7	1548
682	5	1603
203	5	1603
614	3	1554
104	1	1503
593	2	1527
611	6	1508
201	5	1605
1371	2	1513
106	1	1503
340	1	1504
1147	5	1603
429	5	1605
265	0	1597
618	3	1551
452	3	1551
159	7	1547
848	4	1557
1191	2	1526
1142	0	1582
8	1	1504
369	5	1603
428	7	1546
180	2	1540
422	1	1504
1305	0	1579
175	2	1543
1141	3	1553
614	1	1504
876	3	1551
1166	3	1551
1465	3	1554
56	3	1551
647	0	1582
582	3	1551
701	6	1507
566	1	1500
584	7	1548
1485	4	1559
244	7	1547
599	5	1603
258	1	1504
869	7	1548
1327	3	1553
810	3	1552
829	7	1546
1030	1	1504
1313	5	1602
1280	4	1561
393	6	1507
903	6	1507
34	4	1558
486	7	1546
949	4	1557
997	1	1500
224	6	1509
424	6	1508
973	0	1582
1118	1	1500
323	7	1548
549	2	1532
803	1	1500
122	7	1548
520	1	1500
1024	7	1548
1148	6	1507
883	4	1557
47	2	1543
1438	4	1560
1123	1	1502
1193	7	1548
773	4	1557
373	4	1558
943	1	1503
1046	0	1569
289	3	1553
385	5	1603
222	6	1509
786	6	1507
808	6	1508
1049	3	1553
1335	4	1558
1362	1	1504
1168	6	1508
894	3	1551
379	4	1555
828	5	1603
1396	0	1597
329	5	1605
331	0	1597
232	4	1559
446	0	1582
678	4	1558
502	0	1595
1340	1	1502
977	7	1548
1013	4	1557
1484	3	1554
1129	2	1535
419	7	1546
1256	7	1547
380	6	1507
529	5	1603
217	2	1529
1147	3	1551
1045	1	1504
970	5	1605
1274	0	1595
1203	3	1554
777	7	1548
229	7	1548
1074	6	1508
1108	2	1541
1181	2	1533
691	0	1582
903	1	1500
915	7	1546
392	0	1582
637	4	1557
1138	2	1540
236	0	1583
528	2	1516
246	1	1502
1305	1	1504
1246	5	1604
736	4	1560
325	0	1565
601	1	1502
1283	6	1508
1387	2	1512
745	4	1557
7	6	1509
1472	0	1593
142	4	1555
784	7	1548
73	2	1514
647	6	1507
1365	3	1551
1288	2	1534
226	6	1511
1213	4	1561
1204	3	1553
697	4	1558
636	3	1554
599	0	1595
664	0	1585
1299	1	1500
639	3	1552
274	7	1549
976	5	1605
643	1	1504
956	0	1582
35	1	1500
35	4	1558
1380	7	1548
289	6	1507
298	0	1582
742	2	1526
532	2	1543
544	0	1595
631	1	1500
843	6	1507
514	5	1605
549	1	1503
1106	3	1554
465	5	1606
1190	1	1500
1451	3	1551
955	3	1553
992	7	1547
320	6	1511
1150	3	1553
659	0	1582
254	0	1596
1223	5	1605
91	7	1548
488	5	1603
1062	2	1527
1004	0	1582
493	2	1545
1319	2	1540
1315	3	1551
1069	0	1586
321	2	1523
852	2	1513
169	3	1551
652	4	1557
519	1	1500
744	3	1551
388	4	1557
736	0	1593
20	6	1509
1041	0	1582
1385	1	1503
1137	2	1537
1069	6	1508
864	2	1520
205	7	1548
1224	5	1606
1387	0	1585
116	1	1504
737	1	1500
1478	4	1558
1454	7	1548
577	7	1549
492	7	1547
1319	5	1603
675	4	1557
927	7	1547
341	2	1516
